"","Unique_ID","Site","Species","Elevation_m","Elevation_cat","Longitude","Latitude","ACI","LT","LPS","LMA","LBI","Observed","Shannon","Simpson_1minusD","hill_2","hill_1"
"401","NFWB_N006","CCRB","M. nasutus",666,"LOW",-119.99792,37.486337,5.96666666666667,337,0.316666666666667,0.433333333333333,0.15451112,17,2.14845938792023,0.848192,6.58726812816189,8.57164264341701
"402","OPNZ_L104","CFZZ","M. guttatus",1901,"HIGH",-119.802952,37.755986,2.33333333333333,254.666666666667,0.19,0.166666666666667,NA,11,0.525831963237052,0.234588444444445,1.30648667731986,1.69186583319336
"403","OPNZ_L105","CFZZ","M. guttatus",1901,"HIGH",-119.802952,37.755986,2.73333333333333,256.666666666667,0.15,0.133333333333333,NA,8,1.38897621030591,0.619584,2.62870121130552,4.01074179424194
"404","OSKB_L004","HHBB","M. guttatus",1199,"LOW",-119.778553,37.959056,2.03333333333333,237.666666666667,0.116666666666667,0.05,NA,6,0.850770450796344,0.457685333333333,1.84394791707643,2.34145012928526
"405","OSKB_L007","HHBB","M. guttatus",1199,"LOW",-119.778553,37.959056,1.96666666666667,160,0.103333333333333,0.1,NA,5,0.991352028568716,0.554442666666667,2.24438007229896,2.694875559113
"406","SDSB_G004","HHBB","M. laciniatus",1199,"LOW",-119.778553,37.959056,NA,396.666666666667,NA,NA,NA,21,1.29333712705942,0.492,1.96850393700787,3.64492987670216
"407","SDSB_G005","HHBB","M. laciniatus",1199,"LOW",-119.778553,37.959056,4.76666666666667,486.333333333333,0.353333333333333,0.7,NA,10,1.42182132501496,0.701240888888889,3.34717825434984,4.1446623472462
"408","SPLB_L003","HULB","M. laciniatus",2178,"HIGH",-119.14962,37.23553,5.56666666666667,412.333333333333,0.223333333333333,0.333333333333333,0.612075762,9,0.162446277198662,0.0498737777777778,1.05249173910928,1.17638511804706
"409","TRTZ_L001","HUOB","M. nasutus",1851,"HIGH",-119.273507,37.150723,4.56666666666667,405,0.403333333333333,0.666666666666667,0.20307934,14,0.465461486357059,0.157553777777778,1.18701938903848,1.59274905126696
"410","TRTZ_L005","KNOB","M. laciniatus",2572,"HIGH",-119.440369,37.853852,5.16666666666667,422.666666666667,0.303333333333333,NA,0.546582383,19,1.96663512565464,0.769372444444445,4.33599531327084,7.14658861205824
"411","TRTZ_L010","KNOB","M. laciniatus",2572,"HIGH",-119.440369,37.853852,3.7,371.666666666667,0.296666666666667,NA,0.554941836,7,0.398210336089548,0.154090666666667,1.18215979017452,1.48915722047496
"412","TWGB_G002","LMZZ","M. guttatus",2157,"HIGH",-119.772719,37.767781,2.2,341.666666666667,0.31,0.3,NA,10,0.481907056648314,0.178439111111111,1.21719523595194,1.61915928821702
"413","TWGB_G007","OPNZ","M. laciniatus",2506,"HIGH",-119.486313176147,37.8072315532725,5.13333333333333,358.333333333333,0.18,NA,0.384245404,18,1.5159090555027,0.631516444444444,2.71382531166776,4.55355868350451
"414","WCFB_G003","OSKB","M. laciniatus",2399,"HIGH",-119.594572,37.842693,NA,266.666666666667,0.346666666666667,NA,0.397837605,4,0.283921795673518,0.132366222222222,1.15256001508061,1.32832904561236
"415","WCFB_G005","SDSB","M. guttatus",1679,"MID",-120.094614,38.136194,4.66666666666667,371,0.323333333333333,0.433333333333333,0.174807482,15,1.64623289098053,0.745806222222222,3.9340066021373,5.18740146657129
"416","WCFB_G006","TRTZ","M. laciniatus",1486,"MID",-119.70531698,37.71609798,4.3,361.666666666667,0.243333333333333,0.4,0.373069814,25,2.38436832994952,0.850855111111111,6.70488950342098,10.852205486224
"417","WCFB_G007","TRTZ","M. laciniatus",1486,"MID",-119.70531698,37.71609798,3.56666666666667,474.333333333333,0.22,0.5,0.348071626,13,1.0190589907766,0.436263111111111,1.77387717516761,2.77058638955778
"418","WCFB_G008","TWGB","M. guttatus",1238,"MID",-119.951305,37.85882,2.06666666666667,217.333333333333,0.393333333333333,0.2,NA,15,1.03167591564172,0.457685333333333,1.84394791707643,2.8057641206107
"419","WSHB_G001","WCFB","M. guttatus",1380,"MID",-119.719077,37.723593,6.16666666666667,520,0.26,0.633333333333333,0.021116847,17,1.97838647533945,0.789873777777778,4.75904429929947,7.23106606377807
"420","WSHB_G004","WCFB","M. guttatus",1380,"MID",-119.719077,37.723593,3.96666666666667,314.333333333333,0.266666666666667,0.533333333333333,0.142964222,13,1.63823259047411,0.766631111111111,4.28506132398873,5.14606626348514
"421","WSHB_G005","WCFB","M. laciniatus",1380,"MID",-119.719077,37.723593,3.13333333333333,344,0.376666666666667,0.733333333333333,0.422820656,20,1.35695231639256,0.561514666666667,2.28057798968571,3.88433701362259
"422","WSHB_G006","WSHB","M. guttatus",1235,"MID",-119.647878,37.543343,7.33333333333333,261.666666666667,0.51,NA,0.09703621,16,1.94539307699297,0.772736,4.40016896648831,6.99638143117462
"423","WSHB_G205","WSHB","M. guttatus",1235,"MID",-119.647878,37.543343,6.53333333333333,348,0.626666666666667,NA,0.054711922,15,0.51344938018898,0.174328888888889,1.21113599173198,1.67104533580702
"424","YCNB_L001","YCNB","M. laciniatus",2357,"HIGH",-119.572754,37.843904,2.46666666666667,280.666666666667,0.216666666666667,NA,0.323702628,7,1.28225702985961,0.679224888888889,3.11744884612827,3.60476661669213
"425","YCNB_L002","YCNB","M. laciniatus",2357,"HIGH",-119.572754,37.843904,3,389,0.296666666666667,NA,0.395190673,11,0.557657236927573,0.246030222222222,1.32631310892509,1.74657588997788
"426","YCNB_L004","YCNB","M. laciniatus",2357,"HIGH",-119.572754,37.843904,4.13333333333333,364,0.283333333333333,NA,0.333210169,7,0.519064440883259,0.249048888888889,1.3316446106863,1.68045474928199
"427","YCNB_L005","YCNB","M. laciniatus",2357,"HIGH",-119.572754,37.843904,4.16666666666667,380.666666666667,0.306666666666667,NA,0.44541338,16,1.73886388221989,0.751779555555556,4.02867701827766,5.6908742450798
"428","AGFB_L001","AGFB","M. laciniatus",1124,"LOW",-119.570677,37.33823,1.8,256,0.21,NA,0.399020686,10,1.01142563466789,0.462894222222222,1.86183065119389,2.74951803046121
"429","AGFB_L010","BHEB","M. guttatus",1209,"LOW",-119.393233,37.053544,2.96666666666667,302,0.233333333333333,0.2,0.05972451,16,1.03389747579143,0.519584,2.08152934123759,2.81200422318573
"430","AGFB_N003","BHEB","M. guttatus",1209,"LOW",-119.393233,37.053544,5.03333333333333,317.333333333333,0.303333333333333,0.266666666666667,0.113400445,11,1.47152689041207,0.691712,3.24372015777455,4.35588101897191
"431","AGFB_N004","BHEB","M. nasutus",1209,"LOW",-119.393233,37.053544,8.1,628.333333333333,0.53,0.4,0.114500223,10,0.9583738549408,0.482912,1.93390680116344,2.60745292735259
"432","AGFB_N005","CCRB","M. nasutus",666,"LOW",-119.99792,37.486337,3.4,457.333333333333,0.306666666666667,0.433333333333333,0.13081262,9,0.756704724860095,0.330072888888889,1.49269970331764,2.1312416088812
